,accum,min,max,closed
324,0.0,54.01,66.38,0
327,0.0,62.08,81.29,0
328,0.0,59.18,67.69,0
329,0.0,51.66,68.74,0
331,0.0,58.92,74.94,0
332,0.0,69.96,93.82,0
333,0.0,70.95,85.01,0
334,0.0,61.99,73.37,0
336,0.0,45.24,58.14,0
337,0.0,50.55,73.16,0
338,0.0,54.51,69.88,0
339,0.0,56.22,69.32,0
341,0.0,46.72,65.44,0
342,0.0,51.45,61.1,0
343,0.0,55.18,60.81,0
344,0.0,57.2,62.95,0
346,0.0,53.02,72.9,0
347,0.0,59.93,79.96,0
348,0.0,60.42,76.81,0
349,0.0,59.51,64.09,0
351,0.0,54.08,65.04,0
352,0.0,50.14,58.9,0
353,0.0,49.1,59.28,0
354,0.0,52.8,64.0,0
356,0.0,52.33,60.02,0
357,0.0,54.83,70.94,0
358,0.0,55.89,68.65,0
360,0.0,49.34,67.18,0
361,0.0,45.45,52.28,0
362,0.0,42.48,53.16,0
363,0.0,39.08,49.38,0
365,0.0,35.55,46.59,0
366,0.0,39.64,52.32,0
367,0.0,41.48,63.19,0
368,0.0,60.53,69.78,0
370,0.0,32.99,47.07,0
371,0.0,42.6,59.35,0
372,0.0,45.23,66.3,0
373,0.0,36.85,48.14,0
375,0.0,26.78,36.63,0
376,0.0,30.23,50.7,0
377,0.0,39.78,60.31,0
379,0.0,33.71,50.54,0
380,0.0,29.82,41.06,0
381,0.0,30.04,47.0,0
382,0.0,42.79,46.4,0
384,0.0,32.46,41.64,0
385,0.0,40.93,61.76,0
388,0.0,35.86,47.9,0
389,0.0,34.06,44.04,0
390,0.0,36.61,54.36,0
391,0.0,37.31,55.4,0
393,0.316,27.82,36.88,0
394,0.0,24.82,31.07,0
395,0.0,18.57,26.76,0
396,0.0,18.59,30.02,0
398,3.9160000000000004,9.47,23.46,1
399,0.36,19.17,33.9,1
400,0.0,27.46,43.19,0
401,0.0,36.03,51.67,0
403,0.0,34.42,38.34,0
404,0.0,35.02,44.6,0
406,0.213,8.65,16.96,1
407,0.0,5.95,21.41,0
408,0.0,7.85,18.06,0
410,0.0,13.5,21.24,0
411,0.16,15.27,25.89,0
412,0.0,15.96,29.39,0
413,0.0,21.71,41.28,0
415,0.025,22.54,33.64,0
416,5.612,24.72,32.05,1
417,0.13699999999999998,18.73,26.62,0
418,0.0,18.44,30.19,0
420,0.0,13.31,24.59,0
421,0.0,7.71,23.94,0
422,5.257999999999999,20.34,34.98,1
423,0.0,30.68,36.28,0
425,1.555,22.83,34.9,0
426,0.0,33.18,47.69,0
427,0.0,34.52,44.14,0
429,0.0,21.45,28.83,0
430,0.0,16.52,30.13,0
431,0.31,12.5,27.53,0
432,0.0,10.25,24.08,0
434,0.0,10.7,29.31,0
435,0.042,20.08,27.58,0
436,0.0,11.32,24.69,0
437,0.0,16.91,33.04,0
439,0.0,36.57,56.94,0
440,0.0,39.24,44.56,0
441,0.852,18.93,37.88,0
442,0.0,15.68,37.52,0
444,0.0,19.48,32.2,0
445,0.0,26.78,38.66,0
446,0.0,36.53,50.31,0
447,0.0,34.68,42.66,0
449,0.0,21.48,36.72,0
450,0.012,26.23,33.83,0
451,0.0,21.2,45.27,0
452,0.0,35.45,56.53,0
454,0.0,34.47,45.41,0
455,0.0,38.13,45.44,0
456,0.0,38.36,49.6,0
457,0.0,37.28,41.96,0
459,0.0,43.19,63.41,0
460,0.0,42.44,55.94,0
461,0.0,36.64,57.54,0
462,0.0,48.26,66.85,0
464,0.0,49.06,66.89,0
465,0.0,32.35,45.26,0
466,0.0,31.88,38.07,0
467,0.0,31.79,40.97,0
469,0.0,47.64,69.98,0
470,0.0,48.05,54.77,0
471,0.0,42.12,56.25,0
472,0.0,43.08,56.35,0
474,0.0,41.6,45.53,0
475,0.0,41.23,43.53,0
476,0.0,42.79,57.88,0
477,0.0,50.96,67.03,0
479,0.0,46.49,61.01,0
480,0.0,46.86,65.3,0
481,0.0,49.53,61.01,0
482,0.0,51.11,56.89,0
484,0.0,45.9,56.42,0
485,0.0,45.89,63.26,0
486,0.0,59.29,74.21,0
487,0.0,62.43,70.76,0
489,0.0,52.82,66.24,0
491,0.0,71.74,81.89,0
492,0.0,65.36,82.24,0
493,0.0,67.94,87.53,0
495,0.0,61.18,67.2,0
496,0.0,60.13,67.53,0
497,0.0,62.82,78.17,0
498,0.0,58.18,68.69,0
500,0.0,52.59,64.09,0
501,0.0,53.19,66.78,0
502,0.0,54.28,71.2,0
503,0.0,46.8,56.86,0
505,0.0,49.42,70.43,0
506,0.0,53.86,63.65,0
507,0.0,54.08,60.75,0
508,0.0,54.74,67.33,0
510,0.0,55.87,57.5,0
511,0.0,56.94,57.64,0
512,0.0,52.24,56.77,0
513,0.0,49.32,55.92,0
515,0.0,55.36,72.14,0
516,0.0,60.46,71.53,0
517,0.0,50.69,65.39,0
518,0.0,50.01,62.78,0
520,0.0,62.95,78.58,0
521,0.0,62.62,70.31,0
522,0.0,59.97,71.42,0
524,0.0,49.99,60.05,0
525,0.0,50.85,54.95,0
526,0.0,50.46,54.55,0
527,0.0,48.12,52.88,0
529,0.0,45.74,60.71,0
530,0.0,53.28,72.09,0
531,0.0,46.62,57.53,0
532,0.0,45.35,51.19,0
534,0.0,44.8,56.18,0
535,0.0,49.48,65.3,0
536,0.0,47.77,50.66,0
537,0.0,39.9,48.95,0
540,0.0,38.97,48.0,0
541,0.0,34.01,42.57,0
543,0.0,27.76,43.61,0
544,0.0,24.15,36.44,0
545,0.0,31.44,47.47,0
546,0.0,27.87,35.7,0
548,0.0,48.53,61.95,0
549,0.0,34.08,48.76,0
552,0.0,33.51,40.03,0
553,0.0,36.88,51.07,0
554,0.0,30.31,43.09,0
555,0.0,26.4,40.47,0
557,0.0,29.35,48.99,0
558,0.0,38.2,47.62,0
559,0.0,32.35,38.59,0
560,0.0,31.27,38.12,0
562,0.0,35.49,43.6,0
563,0.0,42.05,47.34,0
564,0.0,36.35,43.09,0
565,0.0,29.04,37.2,0
567,0.0,17.08,37.23,0
569,0.0,21.91,32.06,0
570,0.0,29.6,36.07,0
571,0.0,23.56,36.74,0
573,10.809000000000001,14.73,19.46,1
574,0.09300000000000001,13.42,24.0,1
575,0.0,12.69,30.89,0
576,0.253,20.64,33.49,0
578,0.07,7.04,22.24,0
579,0.08,14.31,38.19,0
580,0.359,9.33,36.56,0
581,0.0,4.59,20.85,0
583,6.0729999999999995,15.72,30.64,1
584,0.0,18.7,25.35,0
585,0.19,16.43,28.87,0
586,0.0,5.89,22.5,0
588,0.036000000000000004,18.4,27.98,0
589,0.3,11.86,27.69,0
590,0.0,5.71,18.22,0
592,0.0,0.97,18.43,0
593,0.565,15.75,34.77,0
594,0.192,18.23,22.59,0
595,0.0,13.39,26.03,0
597,1.11,16.17,30.2,0
598,0.0,32.31,42.88,0
599,0.2,19.99,38.72,0
600,0.0,9.39,24.94,0
602,0.0,28.88,47.22,0
603,0.0,40.37,57.21,0
604,0.0,28.15,43.4,0
605,0.0,24.05,40.36,0
607,0.0,30.21,49.98,0
608,0.0,23.07,29.41,0
609,0.0,18.84,32.86,0
610,0.263,22.51,31.74,0
612,0.0,19.14,34.12,0
613,0.0,26.24,46.04,0
614,0.0,37.92,52.72,0
615,0.0,38.66,43.38,0
617,0.0,36.71,48.06,0
618,0.0,30.67,45.73,0
619,0.0,31.42,58.27,0
620,0.0,50.26,58.1,0
622,0.0,38.19,40.57,0
623,0.0,35.23,39.2,0
624,0.0,33.76,36.9,0
625,0.0,36.42,54.55,0
627,0.0,54.76,64.89,0
628,0.0,48.32,63.91,0
629,0.0,41.42,58.14,0
630,0.0,48.27,62.96,0
632,0.0,48.59,63.49,0
633,0.0,45.87,66.11,0
634,0.0,40.35,51.16,0
635,0.0,37.37,49.29,0
637,0.0,43.57,60.89,0
638,0.0,48.95,53.82,0
639,0.0,45.87,53.66,0
640,0.0,41.62,47.91,0
642,0.0,56.95,70.71,0
643,0.0,55.85,72.13,0
644,0.0,54.69,79.09,0
645,0.0,46.48,67.81,0
647,0.0,48.97,82.28,0
648,0.0,53.55,64.88,0
649,0.0,48.97,66.62,0
650,0.0,51.56,64.83,0
652,0.0,52.72,64.84,0
653,0.0,53.08,64.51,0
655,0.0,66.79,88.54,0
